SKU,frequency,value,age,gain_clipped,class_1,class_2,class_3,high_volatility,low_var,dynamic,completed
10060,0.07586278014574453,0.597815708684019,0.13043478260869565,0.199656875,1,0,0,0,0,1,0
10121,0.009865255052935515,0.63223596685747,0.3913043478260869,0.032220000000000006,0,0,0,0,1,1,0
10216,0.011641230120537145,0.7952516388505505,0.21739130434782608,0.04673916666666667,0,1,0,0,0,1,0
10230,0.17251019753425914,0.24560672049530707,0.08695652173913043,0.20048333333333335,0,0,0,0,1,1,0
10388,0.08978413309500893,0.6860168702362631,0.13043478260869565,0.27072875,1,0,0,0,0,1,0
10583,0.14916471882304413,0.776306868767281,0.13043478260869565,0.513290625,0,1,0,0,0,1,0
10837,0.03923455811583536,0.07659643397549978,0.6956521739130435,0.019129411764705884,0,0,0,0,1,1,0
10887,0.07852674274714698,0.43559492731155214,0.6521739130434783,0.1577496875,1,0,0,0,0,1,0
10947,0.039156567343010346,0.5671654246360506,0.26086956521739135,0.10344535714285714,0,0,0,0,1,1,0
10973,0.023622923664172117,0.8356473786876369,0.8695652173913043,0.09149952380952382,0,0,0,0,1,1,0
11013,0.0717952243457537,0.8930780390139219,0.21739130434782608,0.28511708333333335,0,1,0,0,0,1,0
11179,0.020833593740234743,0.8213962847368214,0.9130434782608696,0.07979625000000001,0,0,0,0,1,1,0
11189,0.04451109125074476,0.7378738460928855,1.0,0.04768984895833331,0,0,0,1,0,1,0
11191,0.030016843118383065,0.7529506603338373,0.30434782608695654,0.1026753125,0,0,0,0,1,1,0
11318,0.0621265164094808,0.9252802500069726,0.5217391304347826,0.24973307692307695,0,0,0,0,1,1,0
11379,0.02630734680782804,0.8198537286898899,0.8695652173913043,0.10167309523809524,1,0,0,0,0,1,0
11582,0.020349236903616116,0.9367060240481454,0.5217391304347826,0.0886571153846154,0,0,0,0,1,1,0
11599,0.03895587611116757,0.9693632143614249,0.9565217391304348,0.16818108695652173,0,0,0,0,1,1,0
11666,0.02053432611661678,0.12923775230179174,0.5217391304347826,0.015105,0,0,0,0,1,1,0
11680,0.007390347861955176,0.30782574548061414,0.3913043478260869,0.012491500000000003,0,0,0,0,1,1,0
11700,0.34277464595077684,0.4699607811291347,0.043478260869565216,0.6980025000000001,0,0,0,0,1,1,0
11799,0.07405310536149012,0.29349364252198445,0.6956521739130435,0.024613926470588233,0,0,0,1,0,1,0
11801,0.03861640902751861,0.35552685120475885,0.26086956521739135,0.06436392857142857,0,0,0,0,1,1,0
11826,0.04535237537288003,0.032108516535946915,0.9565217391304348,0.005244891304347826,0,0,0,0,1,1,0
11838,0.020258779769442858,0.7087737130299162,0.782608695652174,0.06782842105263158,0,0,0,0,1,1,0
11848,0.022692899016286888,0.869816816341247,0.9130434782608696,0.09122352272727273,1,0,0,0,0,1,0
12007,0.051377240020165915,0.7695025105106515,0.6086956521739131,0.17921633333333337,0,1,0,0,0,1,0
12086,0.0019783980322960115,0.6927095715795561,0.34782608695652173,0.010821944444444445,0,0,0,0,1,1,0
12319,0.04257757000779137,0.283320965119969,0.08695652173913043,0.05867166666666668,0,0,0,0,1,1,0
12600,0.004674824694073971,0.19422279426640526,0.3913043478260869,0.0059955,0,0,0,0,1,1,0
12631,0.050769971126082766,0.7335095603529083,0.21739130434782608,0.07541412499999998,0,0,0,1,0,1,0
12995,0.5125807782208167,0.5959311862405842,0.0,1.0,1,0,0,0,0,1,0
13110,0.05032311288326687,0.7953434321590688,0.17391304347826086,0.18029250000000002,0,0,0,0,1,1,0
13155,0.020692974013474495,0.22310504318458008,0.21739130434782608,0.024259583333333338,0,0,0,0,1,1,0
13197,0.16849993125257803,0.4091735938999381,0.0,0.31186,1,0,0,0,0,1,0
13316,0.020737809288673418,0.2699618334766364,0.9565217391304348,0.028724130434782613,0,0,0,0,1,1,0
13331,0.0071841055960401475,0.5996332044799094,0.3913043478260869,0.013333637499999997,0,0,0,0,1,1,0
13338,0.007483647934631023,0.7577719749111895,0.8695652173913043,0.029544761904761907,0,0,0,0,1,1,0
13453,0.06503506118520555,0.29447923521300273,0.6521739130434783,0.09014296875000001,1,0,0,0,0,1,0
13859,0.004984188092946515,0.28006114287485206,0.3913043478260869,0.008618750000000001,0,0,0,0,1,1,0
13973,0.014047389889545807,0.5921507681882309,0.34782608695652173,0.040709444444444444,0,0,0,0,1,1,0
13979,0.018248621232259347,0.03213260390065131,0.34782608695652173,0.005722777777777779,0,0,0,0,1,1,0
14062,0.04033509457681051,0.6427223357560383,0.8695652173913043,0.12036059523809524,0,0,0,0,1,1,0
14138,0.05689994958522389,0.46266383650965515,0.21739130434782608,0.11948125000000001,0,0,0,0,1,1,0
14554,0.005877904578578302,0.9963778436711738,0.3913043478260869,0.030467,0,0,0,0,1,1,0
14632,0.019706597959098276,0.6556962077316132,0.9565217391304348,0.06116217391304349,0,1,0,0,0,1,0
14860,0.03749789938432864,0.13217178341865599,0.7391304347826086,0.026958472222222224,0,0,0,0,1,1,0
14987,0.016052523030386363,0.32969626078373093,0.3913043478260869,0.026227,0,0,0,0,1,1,0
15057,0.17354140886383426,0.36945461840039107,0.08695652173913043,0.2961591666666667,0,0,0,0,1,1,0
15143,0.03739859755259178,0.12641428507847952,0.8260869565217391,0.02607825,0,0,0,0,1,1,0
15185,0.6779183280626977,0.09809367094342476,0.0,0.37816750000000005,0,0,0,0,1,1,0
15212,0.027352880516980614,0.616163989447437,0.6521739130434783,0.07867171875000001,0,0,0,0,1,1,0
15232,0.03878972185601863,0.92758186495504,0.6956521739130435,0.15969426470588238,0,0,0,0,1,1,0
15425,0.028598927540217242,0.1998899515313881,0.7391304347826086,0.010652256944444445,0,0,0,1,0,1,0
15475,0.027352880516980614,0.6467502393035778,0.6521739130434783,0.08133781250000001,0,0,0,0,1,1,0
15577,0.0234756077599471,0.9201651587455019,0.8695652173913043,0.10201428571428571,0,0,0,1,0,1,0
15646,0.09597140107245979,0.9303846429966425,0.5652173913043479,0.385545,0,1,0,0,0,1,0
15713,0.019514446779674333,0.10315091811777986,0.5652173913043479,0.012065714285714287,0,0,0,0,1,1,0
15732,0.04910359339785627,0.20734515038912055,0.9565217391304348,0.050465434782608704,0,0,0,0,1,1,0
15806,0.052707398472557274,0.328448174316221,0.9130434782608696,0.08148431818181819,0,0,1,0,0,1,0
15834,0.13756359136532378,0.3885686116565152,0.5652173913043479,0.24844482142857144,1,0,0,0,0,1,0
15845,0.07319881754434208,0.8330760615494601,0.13043478260869565,0.270884375,1,0,0,0,0,1,0
15850,0.1332914301427982,0.7767691049292125,0.5652173913043479,0.4554860714285715,0,0,0,0,1,1,0
15896,0.02849580640725973,0.34350633477436426,0.8260869565217391,0.0459965,1,0,0,0,0,1,0
15905,0.04967626214016974,0.7999128841255707,0.9130434782608696,0.17348784090909095,0,0,0,0,1,1,0
15955,0.12390004124845319,0.7641654163964362,0.13043478260869565,0.41538937500000006,0,1,0,0,0,1,0
15993,0.03525883404372336,0.3521921422636759,0.30434782608695654,0.059945937500000004,0,0,0,0,1,1,0
16019,0.01635889741091231,0.24018661730614493,0.9565217391304348,0.006031059782608697,0,0,0,1,0,1,0
16143,0.6480131995050186,0.09578421694043639,0.0,0.35565,0,0,0,0,1,1,0
16147,0.2956826619001787,0.21991495158807367,0.043478260869565216,0.31781875000000004,0,0,0,0,1,1,0
16363,0.01695483294376461,0.6510490648063151,0.30434782608695654,0.050835625,0,0,0,0,1,1,0
16390,0.03680174493456495,0.26193003758489997,0.9130434782608696,0.047477727272727276,0,0,0,0,1,1,0
16496,0.08579678262065173,0.540176146996773,0.6086956521739131,0.20712033333333335,0,0,0,0,1,1,0
16542,0.032021353547068074,0.044307641244330315,0.9565217391304348,0.011135,0,0,0,0,1,1,0
16700,0.031801932427533965,0.6127235321574352,0.9130434782608696,0.08859943181818182,1,0,0,0,0,1,0
16805,0.05706036023649113,0.40476386398708913,0.8260869565217391,0.10545462500000001,0,0,0,0,1,1,0
16826,0.026438294278250278,0.05726390500730476,0.26086956521739135,0.0034847857142857133,0,0,0,0,1,1,0
16915,0.016066845409963792,0.42219173362664997,1.0,0.034102291666666666,0,0,0,0,1,1,0
